RLM_Learning_App_API_Name__c,RLM_Learning_Filter_Name__c,RLM_Learning_Identity__c,RLM_Learning_Link__c,Name,RLM_Learning_Object__c,RLM_Learning_Page_Name__c,RLM_Learning_Relationship_API_Name__c,RLM_Learning_Relative_Url__c,RLM_Learning_Setup_Page__c,RLM_Learning_Site_Name__c,RLM_Learning_Text_Value__c,RLM_Learning_Where_Condition__c,RecordType.$$DeveloperName$SobjectType,RLM_Learning_Page__r.Name,RLM_Learning_Section__r.Name
,,Salesforce_Contracts_DYN_LINK,,Salesforce Contracts Details Page Link,,,,,,,Go to Salesforce Contracts,,InAppDetailsPage;RLM_Learning_DynamicLink__c,Salesforce Contracts,
,,CENTER_AGENT_DYN_LINK,,Product Catalog Management Details Page Link,,,,,,,Go to Product Catalog Management,,InAppDetailsPage;RLM_Learning_DynamicLink__c,Product Catalog Management,
,,Product_Configurator_DYN_LINK,,Product Configurator Details Page Link,,,,,,,Go to Product Configurator Management,,InAppDetailsPage;RLM_Learning_DynamicLink__c,Product Configurator,
,,Usage_Management_DYN_LINK,,Usage Management Details Page Link,,,,,,,Go to Usage Management,,InAppDetailsPage;RLM_Learning_DynamicLink__c,Usage Management,
,,Price_Management_DYN_LINK,,Price Management Details Page Link,,,,,,,Go to Salesforce Pricing,,InAppDetailsPage;RLM_Learning_DynamicLink__c,Salesforce Pricing,
,,Transaction_Management_DYN_LINK,,Transaction Management Details Page Link,,,,,,,Go to Transaction Management,,InAppDetailsPage;RLM_Learning_DynamicLink__c,Transaction Management,
,,DRO_DYN_LINK,,DRO Details Page Link,,,,,,,Go to Dynamic Revenue Orchestrator,,InAppDetailsPage;RLM_Learning_DynamicLink__c,Dynamic Revenue Orchestrator,
,,Billing_Management_DYN_LINK,,Billing Management Details Page Link,,,,,,,Go to Billing Management,,InAppDetailsPage;RLM_Learning_DynamicLink__c,Billing Management,
,,Rate_Management_DYN_LINK,,Rate Management Details Page Link,,,,,,,Go to Rate Management,,InAppDetailsPage;RLM_Learning_DynamicLink__c,Rate Management,
standard__PriceManagement,,PRICING_APP_DYN_LINK,,Pricing App,,,,,,,,,AppPage;RLM_Learning_DynamicLink__c,,
